approved,country,description,eiaid,enddate,is_default,label,name,revisions,sector,servicetype,source,sourceparent,startdate,uri,utility
True,USA,"This schedule is also not available to customers whose meter indicates a maximum demand of 75 kW or greater for three consecutive months.

Fixed Monthly Charge is the Total Customer Charge per day, averaged out for a month. ($0.65708 per meter per day * 365 days/ 12 months).",14328,1398841200,,539f6b25ec4f024411ec98f5,"A-1 TOU (Option B, Poly-Phase)","[1392237782, 1392237817, 1393367131, 1393969063, 1409236241, 1427405218]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-1.pdf,,1388581200,https://apps.openei.org/IURDB/rate/view/539f6b25ec4f024411ec98f5,Pacific Gas & Electric Co
True,USA,"This schedule is available on a voluntary basis for customers with maximum billing demands less than 500 kW. Customers voluntarily taking service on this schedule are subject to all the terms and conditions below, unless otherwise specified in Section 14.

Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter™ installed. 

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1398841200,,539f6ca7ec4f024411ecac31,"E-19 (Primary, Voluntary)","[1393361934, 1393361955, 1393362031, 1394210934, 1394210968, 1398714650, 1400012039, 1409306768, 1427405217]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388581200,https://apps.openei.org/IURDB/rate/view/539f6ca7ec4f024411ecac31,Pacific Gas & Electric Co
True,USA,"An optional meter data access charge is applicable to this rate.

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1398841200,,539f6d0aec4f024411ecb11d,E-20 (Secondary),"[1393365649, 1393366077, 1394216771, 1398714785, 1398880219, 1408625528, 1409308950, 1427405192]",Commercial,,http://www.pge.com/nots/rates/tariffs/rateinfo.shtml,http://www.pge.com/tariffs/ERS.SHTML,1388563200,https://apps.openei.org/IURDB/rate/view/539f6d0aec4f024411ecb11d,Pacific Gas & Electric Co
False,USA,"Time of Use Secondary Voltage Rate.
Schedule A-10 is a demand metered rate schedule for general service customers.  Schedule 
A-10 applies to single-phase and polyphase alternating-current service (for a description of 
these terms, see Section D of Rule 2*).  This schedule is not available to residential or 
agricultural service for which a residential or agricultural schedule is applicable, except for 
single-phase and polyphase service in common areas in a multifamily complex (see 
Common-Area Accounts section). 
Under Rate Schedule A-10, there is a limit on the demand (the number of kilowatts (kW)) the 
customer may require from the PG&E system.  If the customer's demand exceeds 499 kW for 
three consecutive months, the customer's account will be transferred to Schedule E-19 or 
E-20. 
Under Rate Schedule A-10, a bundled service customer with a maximum demand of 200 kW 
or greater for three consecutive months must have an interval data meter that can be read 
remotely by PG&E and pay the time-of-use (TOU) charges in accordance with the terms and 
conditions of this rate schedule.",14328,1398841200,False,539f6deeec4f024411ecbc53,A-10 TOU Secondary Voltage,"[1392323697, 1392323739, 1392323878, 1393969799, 1398806334, 1408626282, 1409309794, 1427405207, 1555541747]",Commercial,Bundled,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-10.pdf,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388563200,https://apps.openei.org/IURDB/rate/view/539f6deeec4f024411ecbc53,Pacific Gas & Electric Co
True,USA,"An optional meter data access charge is applicable to this rate.

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1398841200,,539f6e0bec4f024411ecbd9b,E-20 (Transmission),"[1393365296, 1393365538, 1393365557, 1393365621, 1394216797, 1398714908, 1398880401, 1408625489, 1409309329, 1427405191]",Commercial,,http://www.pge.com/nots/rates/tariffs/rateinfo.shtml,http://www.pge.com/tariffs/ERS.SHTML,1388563200,https://apps.openei.org/IURDB/rate/view/539f6e0bec4f024411ecbd9b,Pacific Gas & Electric Co
True,USA,"Applies to single-motor installations rated 35 horsepower or more, to multi-load installations aggregating 15 horsepower or kilowatts or more, and to ""overloaded"" motors. The customer's end-use is determined to be overloaded when the measured input to any motor rated 15 horsepower or more is determined by PG&E to exceed one kilowatt per horsepower of nameplate rated output. Rates E and F apply to customers who were on Rates E and F as of May 1, 2006 and are not billed via SmartMeter™. Rates B and C apply to all other customers.
Rates B and C will apply to those customers whose maximum demand is 200 kW or greater for three consecutive months and select this schedule upon the initial installation of the interval data meter, unless the customer was on Rate E or F as of May 1, 2006 and is not billed via SmartMeter™.

Peak Day Pricing Rates apply to this rate. Peak Day Pricing events occur between 9 and 15 times a year.",14328,1398841200,,539f6e5bec4f024411ecc12b,AG-4C,"[1393276355, 1393278568, 1394210484, 1398715028, 1408625412, 1409302176, 1427405210]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_AG-4.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388563200,https://apps.openei.org/IURDB/rate/view/539f6e5bec4f024411ecc12b,Pacific Gas & Electric Co
True,USA,"Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking 
voluntary TOU service under this rate schedule will no longer be applied if the customer 
has a SmartMeter™ installed.

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1398841200,,539f6fcbec4f024411ecd2d1,"E-19 (Secondary, Mandatory)","[1393356169, 1393356943, 1394210976, 1400038630, 1409307651, 1427405185]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388581200,https://apps.openei.org/IURDB/rate/view/539f6fcbec4f024411ecd2d1,Pacific Gas & Electric Co
True,USA,"If the customer's demand exceeds 499 kW for three consecutive months, the customer's account will be transferred to Schedule E-19 or E-20.

Peak Day Pricing Default Rates: Peak Day Pricing (PDP) rates provide customers the opportunity to manage their electric costs by reducing load during high cost periods or shifting load from high cost periods to lower cost periods",14328,1398841200,,539f7162ec4f024411ece53d,A-10 Transmission Voltage,"[1392323061, 1392323310, 1393969658, 1398715563, 1408625425, 1409239069, 1427405204]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-10.pdf,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388563200,https://apps.openei.org/IURDB/rate/view/539f7162ec4f024411ece53d,Pacific Gas & Electric Co
True,USA,"Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter™ installed.

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1398841200,,539f7438ec4f024411ed05db,"E-19 (Primary, Mandatory)","[1393358491, 1393361858, 1394210543, 1398715680, 1400011784, 1409306325, 1427405218]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388581200,https://apps.openei.org/IURDB/rate/view/539f7438ec4f024411ed05db,Pacific Gas & Electric Co
True,USA,"This schedule is also not available to customers whose meter indicates a maximum demand of 75 kW or greater for three consecutive months.

Fixed Monthly Charge is the Total Customer Charge per day, averaged out for a month. ($0.32854 per meter per day * 365 days/ 12 months).",14328,1398841200,,539f7528ec4f024411ed10d1,"A-1 TOU (Option B, Single-Phase)","[1392237129, 1392237683, 1392237750, 1393969066, 1409237100, 1427405182]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-1.pdf,,1388581200,https://apps.openei.org/IURDB/rate/view/539f7528ec4f024411ed10d1,Pacific Gas & Electric Co
